Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
Neave,FWD,4.5,0,0.0,0.1,0.0,0.0,0.0,0.1,0.01,0.2%
Nelson,MID,5.0,0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.1%
Sarmiento,MID,5.0,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.1%
Sambi,MID,4.5,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.1%
Trésor,MID,4.5,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.1%
Barnes,FWD,4.5,0,0.0,0.0,0.0,0.1,0.0,0.1,0.00,3.3%
Targett,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,0.6%
Ben Chilwell,DEF,99.9,0,0.0,0.0,0.0,0.0,0.1,0.1,0.00,0.0%
Pond,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.00,1.9%
Meslier,GK,4.5,1,0.1,0.0,0.0,0.0,0.0,0.1,0.00,1.0%
